h,h,h,h,h,h,h,h,h,h,h,h,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,r,r,r,r,r,r,r,r,r,r,r,r,r,0,0,0,0,s,0,0,0,0,0,g,0,0,0,0,0,0,0,0
h,h,h,h,h,h,h,h,h,h,h,h,h,r,0,0,0,0,r,0,0,0,0,0,r,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,r,r,r,r,r,r,r,r,r,r,r,r,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,f,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,p
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,a,a,a,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,a,a,a,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
